name_en,name_ar,id,category
A Capital Holding,اية كابيتال القابضة,EGS697S1C015,Real Estate
AJWA for Food Industries company Egypt,اجواء للصناعات الغذائية - مصر,EGS30211C014,"Food, Beverages and Tobacco"
ARAB POLVARA SPINNING & WEAVING CO.,العربيه وبولفارا للغزل والنسيج - يونيراب,EGS32331C018,Textile & Durables
Abou Kir Fertilizers,ابوقير للاسمدة والصناعات الكيماوية,EGS38191C010,Basic Resources
Abu Dhabi Islamic Bank- Egypt,مصرف أبو ظبي الأسلامي- مصر,EGS60111C019,Banks
Acrow Misr,اكرومصر للشدات والسقالات المعدنية,EGS3E071C013,Contracting & Construction Engineering
Act Financial,اكت فاينانشال للاستشارات,EGS7D5P1C019,Non-bank financial services
Al Baraka Bank Egypt,بنك البركة مصر,EGS60101C010,Banks
Al Khair River For Development Agricultural Investment&Envir,نهر الخير للتنمية والأستثمار الزراعى والخدمات البيئية,EGS02291C010,"Food, Beverages and Tobacco"
Al Tawfeek Leasing Company-A.T.LEASE,A.T.LEASEالتوفيق للتأجير التمويلي -أية.تي.ليس,EGS676N1C015,Non-bank financial services
Al – Ahly Group For Modern Agriculture,مجموعة الأهلى للزراعات الحديثة,EGS07331C019,"Food, Beverages and Tobacco"
Alexandria Containers and goods,الاسكندرية لتداول الحاويات والبضائع,EGS42111C012,Shipping & Transportation Services
Alexandria Flour Mills,مطاحن ومخابز الاسكندرية,EGS30471C014,"Food, Beverages and Tobacco"
Alexandria Mineral Oils Company,الاسكندرية للزيوت المعدنية,EGS380P1C010,Energy & Support Services
Alexandria National Company for Financial Investment,الاسكندريه الوطنيه للاستثمارات الماليه,EGS67331C016,Non-bank financial services
Alexandria New Medical Center,الاسكندرية للخدمات الطبية - المركز الطبى الجديد - الاسكندرية,EGS72081C010,Health Care & Pharmaceuticals
Alexandria Pharmaceuticals,الاسكندرية للادوية والصناعات الكيماوية,EGS38341C011,Health Care & Pharmaceuticals
Alexandria Spinning & Weaving (SPINALEX),الاسكندرية للغزل والنسيج (سبينالكس),EGS32041C013,Textile & Durables
Amer Group Holding,(مجموعة عامر القابضة (عامر جروب,EGS675S1C011,Real Estate
Arab Aluminum,الالومنيوم العربية,EGS3D031C018,Basic Resources
Arab Co. for Asset Management And Development,الشركة العربية لادارة وتطوير الاصول,EGS72AQ1C016,Real Estate
Arab Cotton Ginning,العربية لحليج الأقطان,EGS32221C011,Textile & Durables
Arab Developers Holding,المطورون العرب القابضة,EGS694A1C018,Real Estate
Arab Moltaka Investments Co,الملتقي العربي للاستثمارات,EGS67221C019,Non-bank financial services
Arab Pharmaceuticals,العربية للادوية والصناعات الكيماوية,EGS38321C013,Health Care & Pharmaceuticals
Arab Real Estate Investment CO.-ALICO,الاستثمار العقاري العربي - اليكو,EGS65011C016,Real Estate
Arab Valves Company,العربية للمحابس,EGS3E1E1C013,Building Materials
Arabia Investments Holding,ارابيا انفستمنتس هولدنج,EGS21351C019,Non-bank financial services
Arabian Cement Company,العربية للاسمنت,EGS3C0O1C016,Building Materials
Arabian Food Industries DOMTY,الصناعات الغذائية العربية-دومتى,EGS30031C016,"Food, Beverages and Tobacco"
Asek Company for Mining - Ascom,اسيك للتعدين - اسكوم,EGS10001C013,Basic Resources
Aspire Capital Holding For Financial Investments,اسباير كابيتال القابضة للاستثمارات المالية,EGS691L1C018,Non-bank financial services
Atlas For Investment and Food Industries,اطلس للاستثمار والصناعات الغذائية,EGS071L1C018,Real Estate
B Investments Holding,بى انفستمنتس القابضه,EGS691T1C010,Non-bank financial services
Banque Du Caire,بنك القاهرة,EGS600K1C019,Banks
Beltone Holding,بلتون القابضة,EGS691G1C015,Non-bank financial services
Bonyan for Development and Trade,بنيان للتنمية والتجارة,EGS656M1C010,Real Estate
CI Capital Holding For Financial Investments,سى اى كابيتال القابضة للاستثمارات المالية,EGS691D1C018,Non-bank financial services
Cairo Educational Services,القاهرة للخدمات التعليمية,EGS72201C014,Education Services
Cairo For Investment And Real Estate Developments-CIRA Edu,القاهره للإستثمار و التنمية العقاريه سيرا للتعليم,EGS65541C012,Education Services
Cairo Oils & Soap,القاهرة للزيوت والصابون,EGS30581C010,"Food, Beverages and Tobacco"
Cairo Pharmaceuticals,القاهرة للادوية والصناعات الكيماوية,EGS38391C016,Health Care & Pharmaceuticals
Cairo Poultry,القاهرة للدواجن,EGS02051C018,"Food, Beverages and Tobacco"
Canal Shipping Agencies,القناة للتوكيلات الملاحية,EGS44031C010,Shipping & Transportation Services
Catalyst Parteners Middle East –CPME,كاتليست بارتنرز ميديل ايست,EGS698X1C017,Non-bank financial services
