isin,reuters_code,company_en,company_ar,category_en,category_ar
EGS38191C010,ABUK.CA,Abou Kir Fertilizers,ابوقير للاسمدة والصناعات الكيماوية,Basic Resources,الموارد الأساسية
EGS60111C019,ADIB.CA,Abu Dhabi Islamic Bank- Egypt,مصرف أبو ظبي الأسلامي- مصر,Banks,البنوك
EGS60101C010,SAUD.CA,Al Baraka Bank Egypt,بنك البركة مصر,Banks,البنوك
EGS02291C010,KRDI.CA,Al Khair River For Development Agricultural Investment&Envir,نهر الخير للتنمية والأستثمار الزراعى والخدمات البيئية,Agriculture,الزراعة
EGS42111C012,ALCN.CA,Alexandria Containers and goods,الاسكندرية لتداول الحاويات والبضائع,Shipping & Transportation Services,خدمات الشحن والنقل
EGS380P1C010,AMOC.CA,Alexandria Mineral Oils Company,الاسكندرية للزيوت المعدنية,Energy & Support Services,الطاقة وخدمات الدعم
EGS675S1C011,AMER.CA,Amer Group Holding,(مجموعة عامر القابضة (عامر جروب,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS32221C011,ACGC.CA,Arab Cotton Ginning,العربية لحليج الأقطان,Textile & Durables,المنسوجات والسلع المعمرة
EGS694A1C018,ARAB.CA,Arab Developers Holding,المطورون العرب القابضة,Real Estate,العقارات
EGS67221C019,AMIA.CA,Arab Moltaka Investments Co,الملتقي العربي للاستثمارات,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS65011C016,RREI.CA,Arab Real Estate Investment CO.-ALICO,الاستثمار العقاري العربي - اليكو,Real Estate,العقارات
EGS3C0O1C016,ARCC.CA,Arabian Cement Company,العربية للاسمنت,Basic Resources,الموارد الأساسية
EGS10001C013,ASCM.CA,ASEC Company For Mining - ASCOM,اسيك للتعدين - اسكوم,Basic Resources,الموارد الأساسية
EGS691T1C010,BINV.CA,B Investments Holding,بى انفستمنتس القابضه,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS691G1C015,BTFH.CA,Beltone Holding,بلتون القابضة,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS65541C012,CIRA.CA,Cairo For Investment And Real Estate Developments-CIRA Edu,القاهره للإستثمار و التنمية العقاريه سيرا للتعليم,Real Estate,العقارات
EGS44031C010,CSAG.CA,Canal Shipping Agencies,القناة للتوكيلات الملاحية,Shipping & Transportation Services,خدمات الشحن والنقل
EGS3C111C019,PRCL.CA,Ceramic & Porcelain,العامة لمنتجات الخزف والصيني,Basic Resources,الموارد الأساسية
EGS691D1C018,CICH.CA,CI Capital Holding For Financial Investments,سى اى كابيتال القابضة للاستثمارات المالية,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS729J1C018,CLHO.CA,Cleopatra Hospital Company,شركة مستشفي كليوباترا,Health Care & Pharmaceuticals,الرعاية الصحية والأدوية
EGS60121C018,COMI.CA,Commercial International Bank-Egypt (CIB),البنك التجاري الدولي -مصر (سى اى بى ),Banks,البنوك
EGS60041C018,CIEB.CA,Credit Agricole Egypt,بنك كريدي اجريكول مصر,Banks,البنوك
EGS33321C018,DSCW.CA,Dice Sport & Casual Wear,دايس للملابس الجاهزة,Textile & Durables,المنسوجات والسلع المعمرة
EGS69101C011,HRHO.CA,EFG Holding,مجموعة اي اف جي القابضة,Non-bank Financial Services,الخدمات المالية غير المصرفية
